"ID tanggapan","Tanggal pengiriman","Halaman terakhir","Bahasa utama","Biji","Tanggal mulai","Tanggal tindakan terakhir","Jenis Kelamin ","Usia","Asal Institusi","Status","Jabatan Akademik","Masa Kerja","Strata","Menurut Anda, hal apa yang pertama kali terlintas di pikiran Anda tatkala mendengar istilah Artificial Intelligent (AI)? ","Sejauh mana Anda memahami kondisi yang menuntut Anda menggunakan AI? ","Sejauh mana Anda memahami penggunaan AI secara bijak dan bertanggung jawab? ","Apakah Anda mengetahui bahwa Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Tahun 2024 telah menerbitkan dokumen Panduan Penggunaan Generative AI (GenAI) pada Pembelajaran di Perguruan Tinggi? ","Seberapa sering Anda menggunakan aplikasi AI untuk pekerjaan terkait dengan status Anda sebagai Dosen/Tenaga Kependidikan/Mahasiswa? ","Menurut Anda, seberapa besar ketergantungan Anda pada penggunaan AI untuk pekerjaan terkait status Anda? ","Penggunaan AI membantu Anda meningkatkan pemahaman tentang suatu materi/pekerjaan ","Apakah perguruan tinggi Anda memiliki dokumen panduan resmi mengenai penggunaan AI? ","Apakah dokumen panduan AI tersebut secara resmi diterbitkan oleh perguruan tinggi? ","Apakah dokumen panduan penggunaan AI di perguruan tinggi Anda diterbitkan berdasarkan surat keputusan atau surat edaran dari pimpinan (Rektor/Ketua)? ","Kapan dokumen tersebut diterbitkan? ","Apakah dokumen panduan penggunaan AI mencakup aspek etika, seperti anti-plagiarisme, bias algoritmik, atau penyalahgunaan data? ","Apakah ada aturan spesifik mengenai penggunaan AI untuk tugas mata kuliah, skripsi, tesis, disertasi, atau publikasi ilmiah? ","Apakah dokumen panduan penggunaan AI mencantumkan sanksi atau konsekuensi bagi pelanggaran yang dilakukan oleh mahasiswa atau dosen? ","Apakah di perguruan tinggi Anda ada panduan untuk pemanfaatan AI dalam proses administratif dan operasional universitas? ","Apakah panduan tersebut telah disosialisasikan kepada seluruh sivitas akademika (dosen, mahasiswa, staf)? ","Seberapa mudah dokumen tersebut diakses? (Misalnya, tersedia di situs web resmi, hanya di intranet, atau hanya tersedia secara secara printed) ","Apakah perguruan tinggi Anda menyelenggarakan pelatihan atau lokakarya bagi dosen dan mahasiswa tentang penggunaan AI secara bijak dan bertanggung jawab? ","Saya memahami isi dokumen panduan (penggunaan AI yang diterbitkan oleh kampus Saya, atau Panduan Penggunaan AI pada Pembelajaran di Perguruan Tinggi yang diterbitkan oleh Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Tahun 2024.) ","Menurut Anda, apakah panduan penggunaan AI akan bermanfaat dalam memandu Anda menggunakan AI secara etis dan produktif? ","Panduan tersebut justru terlalu membatasi kreativitas dan inovasi dalam pekerjaan administratif/pembelajaran/penelitian)? ","Menurut Anda, apakah penggunaan AI di lingkungan PTKIN dalam konteks akademik dan administrasi perlu diatur secara formal?","Tuliskan saran/harapan Anda terhadap regulasi penggunaan AI di PTKIN?"
"1","2025-09-09 04:48:49","7","id","201379840","2025-09-09 04:47:30","2025-09-09 04:48:49","Perempuan","30 - 45","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor (L)","5 – 10 tahun",,"Cukup Menjanjikan","Paham","Paham","Ya","Pernah","Bergantung","Setuju","Ya","Ya","Ya","2023","Tidak","Ya","Ya","Ya","Setuju","Mudah","Tidak","Setuju","Setuju","Setuju","Perlu","Baik"
"4","2025-09-17 01:36:52","7","id","409154584","2025-09-17 01:31:56","2025-09-17 01:36:52","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","Menurut saya ai itu sangat membantu proses belajar saya sebagai mahasiswa, namun perlu dibatasi penggunaannya kearah mana, kalo untuk sumber belajar dan exploring something new itu bagus banget tapi takutnya dipakai untuk mengerjakan tugas kuliah, kaya copy tugas dan paste ke ai lalu copy dari ai paste ke jawaban tugas, itu yang cukup mengkhawatirkan"
"5","2025-09-17 01:35:26","7","id","575671664","2025-09-17 01:32:00","2025-09-17 01:35:26","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","mudah digunakan, afektif dan efisien 
"
"6","2025-09-17 01:37:15","7","id","1390629937","2025-09-17 01:32:00","2025-09-17 01:37:15","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Sangat Paham","Paham","Ya","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Setuju","Setuju","Tidak Setuju","Sangat Perlu","Semoga kelak siapapun dapat menggunakan AI dengan sangat bijak, dan tentunya AI dijadikan alat bantu saja, bukan dijadikan sumber "
"7","2025-09-17 01:38:47","7","id","398157710","2025-09-17 01:32:02","2025-09-17 01:38:47","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Tidak",,,,"Perlu","Lebih bijak menggunakan nya agar tidak disalahgunakan oleh ai, contoh ketika kita mengupload gambar ke ai dan kita menyuruh editkan maka rentan sekali untuk digunakan kembali oleh ai"
"8","2025-09-17 01:37:53","7","id","1344261519","2025-09-17 01:32:03","2025-09-17 01:37:53","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","karena perkembangan AI yang tidak bisa dihindari lagi, maka perguruan tinggi harus mampu beradaptasi dengan AI, kasih akses ke AI tapi bikin batasan yang tidak memperumit, karna AI bisa membantu mempermudah hal yang rumit dalam kegiatan belajar mengajar"
"9","2025-09-17 01:36:01","7","id","1049634651","2025-09-17 01:32:04","2025-09-17 01:36:01","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","AI sangat membantu"
"10","2025-09-17 01:38:47","7","id","973265493","2025-09-17 01:32:04","2025-09-17 01:38:47","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Tidak Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","harapannya agar tidak menghambat pengunaan ai,melainkan didukung"
"11","2025-09-17 01:36:50","7","id","1731203463","2025-09-17 01:32:05","2025-09-17 01:36:50","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Sangat Paham","Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Sangat Perlu","Seharusnya ada aturan khusus di universitas yang di mana ketika ketahuan menggunakan ai dalam mengerjakan tugas (langsung copy paste dari ai nya langsung tanpa di modifikasi) akan dikurangi nilainya "
"12","2025-09-17 01:39:16","7","id","860358319","2025-09-17 01:32:05","2025-09-17 01:39:16","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","tidak perlu adanya aturan secara formal tentang penggunaan ai di ptkin karena mahasiswa dapet menempatkan dengan benar"
